Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz
60,0.063056,0.0053254,1.0923,0.025953,6.0791,0.007015,0.022044,1.9996e-09,1.6,5.083,0.030239,0.34496,0
62,0.063189,0.0053254,1.0938,0.026028,6.081,0.0070244,0.022072,1.9996e-09,1.6,5.0867,0.03025,0.34542,0
64,0.063317,0.0053254,1.0951,0.026099,6.0829,0.0070335,0.022099,1.9996e-09,1.6,5.0902,0.03026,0.34587,0
66,0.063439,0.0053254,1.0964,0.026168,6.0847,0.0070422,0.022125,1.9996e-09,1.6,5.0937,0.03027,0.3463,0
68,0.063557,0.0053254,1.0977,0.026234,6.0864,0.0070506,0.02215,1.9996e-09,1.6,5.0969,0.030279,0.34672,0
70,0.063669,0.0053254,1.0989,0.026297,6.088,0.0070587,0.022174,1.9996e-09,1.6,5.1001,0.030288,0.34711,0
72,0.063778,0.0053254,1.1001,0.026358,6.0896,0.0070665,0.022197,1.9996e-09,1.6,5.1031,0.030297,0.3475,0
74,0.063882,0.0053254,1.1012,0.026416,6.0911,0.007074,0.022219,1.9996e-09,1.6,5.106,0.030305,0.34787,0
76,0.063982,0.0053254,1.1023,0.026473,6.0926,0.0070813,0.02224,1.9996e-09,1.6,5.1088,0.030313,0.34822,0
78,0.064079,0.0053254,1.1033,0.026528,6.094,0.0070883,0.022261,1.9996e-09,1.6,5.1115,0.030321,0.34857,0
80,0.064173,0.0053254,1.1043,0.02658,6.0953,0.0070951,0.022281,1.9996e-09,1.6,5.1141,0.030329,0.3489,0
82,0.064263,0.0053254,1.1053,0.026631,6.0966,0.0071017,0.0223,1.9996e-09,1.6,5.1167,0.030336,0.34922,0
84,0.064351,0.0053254,1.1062,0.026681,6.0979,0.0071081,0.022319,1.9996e-09,1.6,5.1191,0.030343,0.34953,0
86,0.064435,0.0053254,1.1071,0.026728,6.0991,0.0071143,0.022337,1.9996e-09,1.6,5.1215,0.03035,0.34983,0
88,0.064517,0.0053254,1.108,0.026775,6.1003,0.0071204,0.022354,1.9996e-09,1.6,5.1238,0.030356,0.35012,0
90,0.064597,0.0053254,1.1089,0.02682,6.1015,0.0071262,0.022371,1.9996e-09,1.6,5.126,0.030363,0.35041,0
92,0.064674,0.0053254,1.1097,0.026863,6.1026,0.0071319,0.022387,1.9996e-09,1.6,5.1282,0.030369,0.35068,0
94,0.064748,0.0053254,1.1105,0.026906,6.1037,0.0071375,0.022403,1.9996e-09,1.6,5.1303,0.030375,0.35095,0
96,0.064821,0.0053254,1.1113,0.026947,6.1048,0.0071429,0.022419,1.9996e-09,1.6,5.1323,0.030381,0.35121,0
98,0.064891,0.0053254,1.1121,0.026987,6.1058,0.0071481,0.022434,1.9996e-09,1.6,5.1343,0.030387,0.35146,0
100,0.06496,0.0053254,1.1128,0.027026,6.1068,0.0071533,0.022448,1.9996e-09,1.6,5.1362,0.030392,0.35171,0
102,0.065027,0.0053254,1.1135,0.027064,6.1078,0.0071583,0.022462,1.9996e-09,1.6,5.1381,0.030398,0.35195,0
104,0.065092,0.0053254,1.1142,0.0271,6.1087,0.0071631,0.022476,1.9996e-09,1.6,5.14,0.030403,0.35218,0
106,0.065155,0.0053254,1.1149,0.027136,6.1097,0.0071679,0.02249,1.9996e-09,1.6,5.1417,0.030408,0.35241,0
108,0.065217,0.0053254,1.1156,0.027171,6.1106,0.0071725,0.022503,1.9996e-09,1.6,5.1435,0.030413,0.35263,0
110,0.065277,0.0053254,1.1162,0.027206,6.1115,0.0071771,0.022516,1.9996e-09,1.6,5.1452,0.030418,0.35285,0
112,0.065335,0.0053254,1.1169,0.027239,6.1123,0.0071815,0.022528,1.9996e-09,1.6,5.1468,0.030423,0.35306,0
114,0.065392,0.0053254,1.1175,0.027272,6.1132,0.0071859,0.02254,1.9996e-09,1.6,5.1484,0.030428,0.35327,0
116,0.065448,0.0053254,1.1181,0.027303,6.114,0.0071901,0.022552,1.9996e-09,1.6,5.15,0.030432,0.35347,0
118,0.065503,0.0053254,1.1187,0.027335,6.1148,0.0071943,0.022564,1.9996e-09,1.6,5.1516,0.030437,0.35367,0
120,0.065556,0.0053254,1.1193,0.027365,6.1156,0.0071983,0.022575,1.9996e-09,1.6,5.1531,0.030441,0.35386,0
122,0.065608,0.0053254,1.1198,0.027395,6.1163,0.0072023,0.022586,1.9996e-09,1.6,5.1546,0.030445,0.35405,0
124,0.065659,0.0053254,1.1204,0.027424,6.1171,0.0072062,0.022597,1.9996e-09,1.6,5.156,0.030449,0.35423,0
126,0.065709,0.0053254,1.1209,0.027452,6.1178,0.00721,0.022608,1.9996e-09,1.6,5.1574,0.030454,0.35441,0
128,0.065757,0.0053254,1.1215,0.02748,6.1185,0.0072138,0.022618,1.9996e-09,1.6,5.1588,0.030458,0.35459,0
130,0.065805,0.0053254,1.122,0.027507,6.1192,0.0072174,0.022628,1.9996e-09,1.6,5.1601,0.030461,0.35476,0
132,0.065851,0.0053254,1.1225,0.027534,6.1199,0.007221,0.022638,1.9996e-09,1.6,5.1615,0.030465,0.35493,0
134,0.065897,0.0053254,1.123,0.02756,6.1204,0.0072246,0.022648,1.9996e-09,1.6,5.1627,0.030469,0.3551,0
136,0.065942,0.0053254,1.1235,0.027586,6.1212,0.0072279,0.022658,1.9996e-09,1.6,5.164,0.030473,0.35526,0
138,0.065986,0.0053254,1.124,0.027611,6.1219,0.0072314,0.022667,1.9996e-09,1.6,5.1653,0.030476,0.35542,0
140,0.066029,0.0053254,1.1244,0.027635,6.1227,0.0072348,0.022676,1.9996e-09,1.6,5.1666,0.03048,0.35558,0
142,0.066071,0.0053254,1.1249,0.02766,6.1234,0.0072381,0.022685,1.9996e-09,1.6,5.1679,0.030483,0.35573,0
144,0.066112,0.0053254,1.1253,0.027683,6.1242,0.0072414,0.022694,1.9996e-09,1.6,5.1691,0.030487,0.35589,0
146,0.066153,0.0053254,1.1258,0.027707,6.1249,0.0072446,0.022703,1.9996e-09,1.6,5.1703,0.03049,0.35603,0
148,0.066192,0.0053254,1.1262,0.02773,6.1256,0.0072478,0.022711,1.9996e-09,1.6,5.1715,0.030494,0.35618,0
150,0.066231,0.0053254,1.1266,0.027752,6.1263,0.0072509,0.02272,1.9996e-09,1.6,5.1727,0.030497,0.35632,0
152,0.06627,0.0053254,1.1271,0.027774,6.127,0.0072539,0.022728,1.9996e-09,1.6,5.1738,0.0305,0.35646,0
154,0.066307,0.0053254,1.1275,0.027796,6.1276,0.0072569,0.022736,1.9996e-09,1.6,5.175,0.030503,0.3566,0
156,0.066344,0.0053254,1.1279,0.027817,6.1283,0.0072599,0.022744,1.9996e-09,1.6,5.1761,0.030506,0.35674,0
158,0.066381,0.0053254,1.1283,0.027838,6.1289,0.0072628,0.022752,1.9996e-09,1.6,5.1772,0.030509,0.35687,0
160,0.066416,0.0053254,1.1287,0.027858,6.1296,0.0072656,0.022759,1.9996e-09,1.6,5.1782,0.030512,0.357,0
162,0.066451,0.0053254,1.1291,0.027879,6.1302,0.0072685,0.022767,1.9996e-09,1.6,5.1793,0.030515,0.35713,0
164,0.066486,0.0053254,1.1294,0.027899,6.1308,0.0072712,0.022774,1.9996e-09,1.6,5.1803,0.030518,0.35726,0
166,0.06652,0.0053254,1.1298,0.027918,6.1314,0.007274,0.022781,1.9996e-09,1.6,5.1814,0.030521,0.35738,0
168,0.066553,0.0053254,1.1302,0.027937,6.132,0.0072767,0.022789,1.9996e-09,1.6,5.1824,0.030524,0.35751,0
170,0.066586,0.0053254,1.1305,0.027956,6.1326,0.0072793,0.022796,1.9996e-09,1.6,5.1834,0.030526,0.35763,0
172,0.066618,0.0053254,1.1309,0.027975,6.1332,0.0072819,0.022802,1.9996e-09,1.6,5.1843,0.030529,0.35775,0
174,0.06665,0.0053254,1.1312,0.027993,6.1337,0.0072845,0.022809,1.9996e-09,1.6,5.1853,0.030532,0.35787,0
176,0.066681,0.0053254,1.1316,0.028011,6.1343,0.007287,0.022816,1.9996e-09,1.6,5.1862,0.030534,0.35798,0
178,0.066712,0.0053254,1.1319,0.028029,6.1348,0.0072895,0.022823,1.9996e-09,1.6,5.1872,0.030537,0.3581,0
180,0.066742,0.0053254,1.1323,0.028047,6.1354,0.007292,0.022829,1.9996e-09,1.6,5.1881,0.030539,0.35821,0
182,0.066772,0.0053254,1.1326,0.028064,6.1359,0.0072944,0.022836,1.9996e-09,1.6,5.189,0.030542,0.35832,0
184,0.066801,0.0053254,1.1329,0.028081,6.1364,0.0072968,0.022842,1.9996e-09,1.6,5.1899,0.030544,0.35843,0
186,0.06683,0.0053254,1.1332,0.028098,6.1369,0.0072991,0.022848,1.9996e-09,1.6,5.1907,0.030547,0.35853,0
188,0.066859,0.0053254,1.1335,0.028114,6.1374,0.0073015,0.022854,1.9996e-09,1.6,5.1916,0.030549,0.35864,0
190,0.066887,0.0053254,1.1339,0.02813,6.1379,0.0073038,0.02286,1.9996e-09,1.6,5.1925,0.030552,0.35875,0
192,0.066915,0.0053254,1.1342,0.028146,6.1384,0.007306,0.022866,1.9996e-09,1.6,5.1933,0.030554,0.35885,0
194,0.066942,0.0053254,1.1345,0.028162,6.1389,0.0073083,0.022872,1.9996e-09,1.6,5.1941,0.030556,0.35895,0
196,0.066969,0.0053254,1.1348,0.028178,6.1394,0.0073105,0.022878,1.9996e-09,1.6,5.1949,0.030559,0.35905,0
198,0.066995,0.0053254,1.1351,0.028193,6.1399,0.0073127,0.022884,1.9996e-09,1.6,5.1957,0.030561,0.35915,0
200,0.067022,0.0053254,1.1353,0.028208,6.1403,0.0073148,0.022889,1.9996e-09,1.6,5.1965,0.030563,0.35925,0
202,0.067047,0.0053254,1.1356,0.028223,6.1408,0.0073169,0.022895,1.9996e-09,1.6,5.1973,0.030565,0.35934,0
204,0.067073,0.0053254,1.1359,0.028238,6.1412,0.007319,0.0229,1.9996e-09,1.6,5.1981,0.030567,0.35944,0
206,0.067098,0.0053254,1.1362,0.028253,6.1417,0.0073211,0.022906,1.9996e-09,1.6,5.1988,0.030569,0.35953,0
