Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz
0.001,4e-09,0.0053254,0.023461,2e-09,5.0637,0.0036422,0.0026642,2e-09,1.6,2.6375,0.022429,9.5125e-05,0
0.0011,1.7283e-07,0.0053254,0.02348,2.6473e-09,5.0639,0.0036426,0.0026644,2e-09,1.6,2.6377,0.022429,0.00010467,0
0.00121,2.4052e-06,0.0053254,0.023511,2.4151e-08,5.0643,0.0036431,0.0026647,2e-09,1.6,2.6379,0.02243,0.00011727,0
0.001331,6.0909e-06,0.0053254,0.023563,9.2404e-08,5.0649,0.0036438,0.0026655,2e-09,1.6,2.6383,0.02243,0.00013656,0
0.0014641,1.0775e-05,0.0053254,0.023636,2.0686e-07,5.0657,0.0036445,0.0026665,2e-09,1.6,2.6389,0.022431,0.00016273,0
0.0016105,1.6405e-05,0.0053254,0.02373,3.6774e-07,5.0667,0.0036453,0.0026679,2e-09,1.6,2.6396,0.022431,0.00019587,0
0.0017716,2.3017e-05,0.0053254,0.023846,5.7824e-07,5.068,0.0036462,0.0026696,2e-09,1.6,2.6404,0.022432,0.00023648,0
0.0019487,3.0683e-05,0.0053254,0.023988,8.4351e-07,5.0696,0.0036473,0.0026718,2e-09,1.6,2.6415,0.022433,0.0002853,0
0.0021436,3.9501e-05,0.0053254,0.024156,1.1702e-06,5.0715,0.0036485,0.0026744,2e-09,1.6,2.6427,0.022435,0.00034332,0
0.002358,4.9588e-05,0.0053254,0.024357,1.5666e-06,5.0737,0.0036498,0.0026774,2e-09,1.6,2.6442,0.022436,0.00041168,0
0.0025937,6.1081e-05,0.0053254,0.024592,2.0422e-06,5.0763,0.0036513,0.0026811,2e-09,1.6,2.6459,0.022438,0.00049176,0
0.0028531,7.4137e-05,0.0053254,0.024867,2.6083e-06,5.0793,0.003653,0.0026854,2e-09,1.6,2.6479,0.02244,0.00058514,0
0.0031384,8.8933e-05,0.0053254,0.025188,3.278e-06,5.0829,0.0036549,0.0026904,2e-09,1.6,2.6503,0.022443,0.00069365,0
0.0034523,0.00010567,0.0053254,0.025562,4.0662e-06,5.0866,0.003657,0.0026963,2e-09,1.6,2.6528,0.022445,0.00081938,0
0.0037975,0.00012457,0.0053254,0.025994,4.9901e-06,5.0869,0.0036594,0.0027031,2e-09,1.6,2.6537,0.022449,0.00096474,0
0.0041773,0.00014588,0.0053254,0.026494,6.0696e-06,5.0869,0.003662,0.002711,2e-09,1.6,2.6546,0.022453,0.0011325,0
0.004595,0.00016989,0.0053254,0.027071,7.3272e-06,5.0869,0.0036631,0.0027201,1.9998e-09,1.6,2.6556,0.022457,0.0013257,0
0.0050545,0.00019691,0.0053254,0.027736,8.7887e-06,5.0869,0.0036636,0.0027307,1.9997e-09,1.6,2.6568,0.022462,0.001548,0
0.0055599,0.00022729,0.0053254,0.028501,1.0484e-05,5.0869,0.0036641,0.0027429,1.9997e-09,1.6,2.6582,0.022468,0.0018035,0
0.0061159,0.00026141,0.0053254,0.029381,1.2446e-05,5.0869,0.0036656,0.002757,1.9997e-09,1.6,2.6597,0.022474,0.0020968,0
0.0067275,0.00029972,0.0053254,0.030392,1.4713e-05,5.0869,0.0036682,0.0027732,1.9997e-09,1.6,2.6615,0.022482,0.0024333,0
0.0074002,0.0003427,0.0053254,0.031552,1.7329e-05,5.0869,0.0036706,0.0027918,1.9997e-09,1.6,2.6635,0.022491,0.0028188,0
0.0081403,0.00039088,0.0053254,0.032882,2.0344e-05,5.0871,0.0036731,0.0028131,1.9997e-09,1.6,2.666,0.022501,0.0032604,0
0.0089543,0.00044486,0.0053254,0.034406,2.3813e-05,5.0882,0.0036757,0.0028377,1.9997e-09,1.6,2.6692,0.022512,0.0037659,0
0.0098497,0.00050529,0.0053254,0.03615,2.78e-05,5.0892,0.0036792,0.0028658,1.9996e-09,1.6,2.6728,0.022525,0.004344,0
0.010835,0.00057291,0.0053254,0.038146,3.2377e-05,5.0904,0.0036832,0.002898,1.9996e-09,1.6,2.6769,0.02254,0.0050048,0
0.011918,0.00064853,0.0053254,0.040429,3.7625e-05,5.0917,0.0036875,0.0029349,1.9996e-09,1.6,2.6816,0.022557,0.0057598,0
0.01311,0.00073303,0.0053254,0.043037,4.3636e-05,5.0933,0.0036923,0.0029772,1.9996e-09,1.6,2.6869,0.022577,0.0066219,0
0.014421,0.0008274,0.0053254,0.046016,5.0513e-05,5.095,0.0036974,0.0030255,1.9996e-09,1.6,2.693,0.022599,0.0076056,0
0.015863,0.00093271,0.0053254,0.049415,5.8372e-05,5.097,0.003703,0.0030807,1.9996e-09,1.6,2.6999,0.022625,0.0087276,0
0.017449,0.0010502,0.0053254,0.053292,6.7342e-05,5.0992,0.003709,0.0031437,1.9996e-09,1.6,2.7078,0.022653,0.010006,0
0.019194,0.001181,0.0053254,0.057711,7.7568e-05,5.1018,0.0037155,0.0032156,1.9996e-09,1.6,2.7168,0.022686,0.011463,0
0.021114,0.0013268,0.0053254,0.062743,8.9211e-05,5.1046,0.0037225,0.0032976,1.9996e-09,1.6,2.7271,0.022724,0.01312,0
0.023225,0.0014889,0.0053254,0.068468,0.00010245,5.1079,0.00373,0.003391,1.9996e-09,1.6,2.7387,0.022767,0.015005,0
0.025548,0.0016691,0.0053254,0.074977,0.00011749,5.1117,0.0037381,0.0034973,1.9996e-09,1.6,2.7519,0.022815,0.017147,0
0.028102,0.0018692,0.0053254,0.08237,0.00013454,5.1159,0.0037467,0.0036181,1.9996e-09,1.6,2.7669,0.02287,0.019578,0
0.030913,0.0020912,0.0053254,0.090756,0.00015384,5.1206,0.0037559,0.0037552,1.9996e-09,1.6,2.7839,0.022933,0.022335,0
0.034004,0.0023371,0.0053254,0.1,0.00017566,5.1259,0.0037654,0.0039066,1.9996e-09,1.6,2.8026,0.023001,0.025372,0
0.037404,0.0026094,0.0053254,0.10985,0.00020029,5.1316,0.003775,0.0040681,1.9996e-09,1.6,2.8226,0.023075,0.028603,0
0.041145,0.0029103,0.0053254,0.12033,0.00022803,5.1376,0.0037857,0.0042401,1.9996e-09,1.6,2.8439,0.023152,0.032032,0
0.045259,0.0032426,0.0053254,0.13143,0.00025922,5.1441,0.0037975,0.0044226,1.9996e-09,1.6,2.8664,0.023235,0.035662,0
0.049785,0.0036088,0.0053254,0.14317,0.00029423,5.151,0.0038105,0.004616,1.9996e-09,1.6,2.8904,0.023321,0.039495,0
0.054764,0.0040119,0.0053254,0.15556,0.00033343,5.1584,0.0038248,0.0048203,1.9996e-09,1.6,2.9157,0.023413,0.043532,0
0.06024,0.0044499,0.0053254,0.16859,0.00037725,5.1662,0.0038404,0.0050355,1.9996e-09,1.6,2.9423,0.023509,0.047772,0
0.066264,0.0049138,0.0053254,0.18223,0.00042612,5.1744,0.0038571,0.0052611,1.9996e-09,1.6,2.9703,0.023609,0.052211,0
0.07289,0.0054038,0.0053254,0.19647,0.00048058,5.183,0.0038749,0.0054968,1.9996e-09,1.6,2.9995,0.023714,0.056848,0
0.08018,0.0059203,0.0053254,0.21131,0.00054118,5.192,0.003894,0.0057425,1.9996e-09,1.6,3.03,0.023824,0.061676,0
0.088197,0.0064633,0.0053254,0.22671,0.00060856,5.2014,0.0039144,0.0059978,1.9996e-09,1.6,3.0616,0.023937,0.066689,0
0.097017,0.0070329,0.0053254,0.24264,0.0006834,5.2113,0.0039362,0.0062624,1.9996e-09,1.6,3.0945,0.024055,0.071879,0
0.10672,0.007629,0.0053254,0.2591,0.00076648,5.2215,0.0039595,0.0065358,1.9996e-09,1.6,3.1284,0.024176,0.077237,0
0.11739,0.0082514,0.0053254,0.27602,0.00085865,5.232,0.0039844,0.0068174,1.9996e-09,1.6,3.1635,0.024301,0.082754,0
0.12913,0.0088998,0.0053254,0.29339,0.00096086,5.243,0.0040108,0.0071067,1.9996e-09,1.6,3.1994,0.024429,0.088412,0
0.14204,0.0095738,0.0053254,0.31111,0.0010742,5.2543,0.0040383,0.0074029,1.9996e-09,1.6,3.2363,0.02456,0.094188,0
0.15625,0.010256,0.0053254,0.32914,0.0011998,5.2658,0.0040665,0.0077047,1.9996e-09,1.6,3.2738,0.024693,0.10007,0
0.17187,0.010951,0.0053254,0.34742,0.0013392,5.2776,0.0040957,0.0080116,1.9996e-09,1.6,3.3119,0.024828,0.10603,0
0.18906,0.011661,0.0053254,0.36593,0.001494,5.2897,0.0041258,0.0083231,1.9996e-09,1.6,3.3506,0.024965,0.11207,0
0.20797,0.01239,0.0053254,0.3846,0.0016659,5.2961,0.0041572,0.0086389,1.9996e-09,1.6,3.3867,0.025103,0.11817,0
0.22876,0.01314,0.0053254,0.40342,0.0018569,5.3081,0.0041846,0.0089583,1.9996e-09,1.6,3.426,0.025242,0.12431,0
0.25164,0.013915,0.0053254,0.42233,0.0020692,5.3203,0.0042177,0.0092811,1.9996e-09,1.6,3.4656,0.025382,0.13048,0
0.2768,0.014719,0.0053254,0.4413,0.0023054,5.3333,0.0042523,0.0096068,1.9996e-09,1.6,3.5058,0.025522,0.13666,0
0.30448,0.015554,0.0053254,0.46029,0.0025681,5.3492,0.0042923,0.0099352,1.9996e-09,1.6,3.5476,0.025662,0.14284,0
0.33493,0.016423,0.0053254,0.47927,0.0028604,5.366,0.0043364,0.010266,1.9996e-09,1.6,3.5898,0.025801,0.149,0
0.36842,0.017332,0.0053254,0.49822,0.0031856,5.3826,0.0043825,0.010599,1.9996e-09,1.6,3.6319,0.02594,0.15514,0
0.40526,0.018283,0.0053254,0.5171,0.0035473,5.3956,0.0044316,0.010935,1.9996e-09,1.6,3.6723,0.026079,0.16124,0
0.44579,0.019282,0.0053254,0.53589,0.0039496,5.409,0.0044812,0.011273,1.9996e-09,1.6,3.7128,0.026216,0.16729,0
0.49037,0.020324,0.0053254,0.55456,0.0043884,5.4226,0.0045328,0.011613,1.9996e-09,1.6,3.7533,0.026351,0.17328,0
0.53941,0.021386,0.0053254,0.57303,0.0048401,5.4363,0.004586,0.01195,1.9996e-09,1.6,3.7935,0.026485,0.1792,0
0.59335,0.022468,0.0053254,0.59128,0.0053042,5.45,0.0046405,0.012284,1.9996e-09,1.6,3.8334,0.026618,0.18505,0
0.65268,0.023569,0.0053254,0.60929,0.0057801,5.4637,0.0046965,0.012616,1.9996e-09,1.6,3.8729,0.026748,0.19081,0
0.71795,0.024691,0.0053254,0.62703,0.0062673,5.4793,0.0047537,0.012945,1.9996e-09,1.6,3.9129,0.026877,0.19648,0
0.78975,0.025831,0.0053254,0.6445,0.0067649,5.5002,0.0048129,0.013269,1.9996e-09,1.6,3.9552,0.027003,0.20205,0
0.86872,0.02697,0.0053254,0.66165,0.0072721,5.521,0.0048746,0.013589,1.9996e-09,1.6,3.9969,0.027127,0.20752,0
0.95559,0.028106,0.0053254,0.67846,0.0077869,5.5418,0.0049368,0.013905,1.9996e-09,1.6,4.0381,0.027248,0.21289,0
1.0512,0.029234,0.0053254,0.69492,0.0083033,5.5624,0.0049993,0.014214,1.9996e-09,1.6,4.0785,0.027367,0.21814,0
1.1563,0.030355,0.0053254,0.71102,0.0088237,5.5829,0.005062,0.014517,1.9996e-09,1.6,4.1183,0.027484,0.22328,0
1.2719,0.031471,0.0053254,0.72676,0.0093497,5.6031,0.0051247,0.014815,1.9996e-09,1.6,4.1573,0.027597,0.2283,0
1.3991,0.032584,0.0053254,0.74214,0.0098828,5.6233,0.0051875,0.015108,1.9996e-09,1.6,4.1958,0.027708,0.2332,0
1.539,0.033694,0.0053254,0.75716,0.010424,5.6434,0.0052504,0.015396,1.9996e-09,1.6,4.2335,0.027817,0.23799,0
1.6929,0.034802,0.0053254,0.77182,0.010973,5.6634,0.0053131,0.015679,1.9996e-09,1.6,4.2706,0.027922,0.24265,0
1.8622,0.035899,0.0053254,0.7861,0.011522,5.6832,0.0053755,0.015955,1.9996e-09,1.6,4.307,0.028025,0.24719,0
2.0484,0.036985,0.0053254,0.80001,0.012071,5.7027,0.0054376,0.016225,1.9996e-09,1.6,4.3426,0.028125,0.25161,0
2.2532,0.038059,0.0053254,0.81355,0.012617,5.7204,0.0054992,0.016489,1.9996e-09,1.6,4.3766,0.028223,0.25591,0
2.4786,0.039119,0.0053254,0.82672,0.01316,5.736,0.0055597,0.016747,1.9996e-09,1.6,4.4089,0.028317,0.26009,0
2.7264,0.040164,0.0053254,0.83952,0.013698,5.7513,0.0056189,0.016998,1.9996e-09,1.6,4.4404,0.028409,0.26415,0
3,0.041196,0.0053254,0.85199,0.014233,5.7663,0.0056778,0.017244,1.9996e-09,1.6,4.4712,0.028499,0.26811,0
3.3,0.042208,0.0053254,0.86406,0.014759,5.781,0.0057354,0.017482,1.9996e-09,1.6,4.5011,0.028586,0.27194,0
3.63,0.043202,0.0053254,0.87577,0.015279,5.7954,0.0057924,0.017714,1.9996e-09,1.6,4.5303,0.02867,0.27565,0
3.993,0.044177,0.0053254,0.88713,0.01579,5.8095,0.0058485,0.017939,1.9996e-09,1.6,4.5587,0.028751,0.27926,0
4.3923,0.045132,0.0053254,0.89815,0.016292,5.8233,0.0059036,0.018158,1.9996e-09,1.6,4.5862,0.028831,0.28275,0
4.8315,0.046068,0.0053254,0.90883,0.016785,5.8368,0.0059579,0.018371,1.9996e-09,1.6,4.613,0.028907,0.28614,0
5.3147,0.046982,0.0053254,0.91917,0.017269,5.8499,0.0060112,0.018577,1.9996e-09,1.6,4.6391,0.028982,0.28942,0
5.8461,0.047875,0.0053254,0.92919,0.017742,5.8627,0.0060634,0.018777,1.9996e-09,1.6,4.6644,0.029054,0.2926,0
6.4308,0.048747,0.0053254,0.93889,0.018204,5.8752,0.0061147,0.018971,1.9996e-09,1.6,4.6889,0.029123,0.29568,0
7,0.049499,0.0053254,0.9472,0.018604,5.8859,0.0061569,0.019138,1.9996e-09,1.6,4.7099,0.029183,0.29831,0
7.7,0.050329,0.0053254,0.95632,0.019046,5.8978,0.0062085,0.019321,1.9996e-09,1.6,4.7331,0.029249,0.30121,0
8.47,0.051137,0.0053254,0.96515,0.019477,5.9093,0.0062567,0.019498,1.9996e-09,1.6,4.7556,0.029312,0.30402,0
9.317,0.051923,0.0053254,0.97368,0.019897,5.9205,0.006304,0.019669,1.9996e-09,1.6,4.7773,0.029374,0.30674,0
10.249,0.052686,0.0053254,0.98194,0.020305,5.9313,0.0063501,0.019835,1.9996e-09,1.6,4.7984,0.029433,0.30937,0
11.274,0.053427,0.0053254,0.98992,0.020702,5.9418,0.0063952,0.019995,1.9996e-09,1.6,4.8188,0.029491,0.31191,0
12.401,0.054146,0.0053254,0.99763,0.021088,5.952,0.0064392,0.02015,1.9996e-09,1.6,4.8385,0.029547,0.31437,0
14,0.055044,0.0053254,1.0072,0.021571,5.9648,0.0064994,0.020343,1.9996e-09,1.6,4.8632,0.029616,0.31744,0
15.4,0.055711,0.0053254,1.0144,0.021931,5.9742,0.0065361,0.020485,1.9996e-09,1.6,4.8814,0.029668,0.31972,0
16.94,0.056357,0.0053254,1.0212,0.02228,5.9834,0.0065767,0.020623,1.9996e-09,1.6,4.8991,0.029718,0.32192,0
18.634,0.056982,0.0053254,1.0279,0.022618,5.9923,0.0066162,0.020757,1.9996e-09,1.6,4.9162,0.029766,0.32405,0
20.497,0.057587,0.0053254,1.0343,0.022946,6.0009,0.0066548,0.020885,1.9996e-09,1.6,4.9327,0.029813,0.32611,0
22.547,0.058172,0.0053254,1.0405,0.023264,6.0092,0.0066924,0.02101,1.9996e-09,1.6,4.9487,0.029858,0.32811,0
24.802,0.058738,0.0053254,1.0465,0.023572,6.0172,0.006729,0.02113,1.9996e-09,1.6,4.9642,0.029902,0.33004,0
28,0.059442,0.0053254,1.0539,0.023956,6.0273,0.0067789,0.021279,1.9996e-09,1.6,4.9834,0.029956,0.33245,0
30,0.059814,0.0053254,1.0579,0.02416,6.0326,0.006796,0.021358,1.9996e-09,1.6,4.9936,0.029985,0.33372,0
32,0.060153,0.0053254,1.0615,0.024346,6.0374,0.0068181,0.021429,1.9996e-09,1.6,5.0029,0.030011,0.33489,0
34,0.060464,0.0053254,1.0648,0.024517,6.0419,0.0068385,0.021495,1.9996e-09,1.6,5.0115,0.030036,0.33596,0
36,0.06075,0.0053254,1.0678,0.024675,6.046,0.0068574,0.021556,1.9996e-09,1.6,5.0193,0.030058,0.33694,0
38,0.061016,0.0053254,1.0706,0.024821,6.0498,0.0068751,0.021612,1.9996e-09,1.6,5.0266,0.030079,0.33786,0
40,0.061263,0.0053254,1.0732,0.024957,6.0533,0.0068916,0.021664,1.9996e-09,1.6,5.0334,0.030098,0.33871,0
42,0.061493,0.0053254,1.0757,0.025085,6.0566,0.0069071,0.021713,1.9996e-09,1.6,5.0398,0.030116,0.33951,0
44,0.061709,0.0053254,1.078,0.025204,6.0597,0.0069218,0.021759,1.9996e-09,1.6,5.0457,0.030133,0.34026,0
46,0.061912,0.0053254,1.0801,0.025316,6.0626,0.0069356,0.021802,1.9996e-09,1.6,5.0513,0.030149,0.34096,0
48,0.062103,0.0053254,1.0822,0.025422,6.0654,0.0069487,0.021842,1.9996e-09,1.6,5.0566,0.030164,0.34163,0
50,0.062283,0.0053254,1.0841,0.025523,6.068,0.0069611,0.02188,1.9996e-09,1.6,5.0616,0.030178,0.34225,0
52,0.062454,0.0053254,1.0859,0.025618,6.0704,0.0069729,0.021916,1.9996e-09,1.6,5.0663,0.030192,0.34285,0
54,0.062616,0.0053254,1.0876,0.025708,6.0728,0.0069842,0.021951,1.9996e-09,1.6,5.0708,0.030204,0.34341,0
56,0.06277,0.0053254,1.0893,0.025794,6.075,0.0069949,0.021983,1.9996e-09,1.6,5.075,0.030217,0.34395,0
58,0.062916,0.0053254,1.0908,0.025875,6.0771,0.0070052,0.022014,1.9996e-09,1.6,5.0791,0.030228,0.34447,0
