Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz,Ca/Si
0.14204,0,0,0.15195,0,0.53936,0.00096558,0,1.9996e-09,0,0.60958,0,0.093736,0,1.621
0.15625,0,0,0.16139,0,0.57289,0.0010277,0,1.9996e-09,0,0.64747,0,0.099562,0,1.621
0.17187,0,0,0.17097,0,0.60689,0.0010911,0,1.9996e-09,0,0.6859,0,0.10547,0,1.621
0.18906,0,0,0.18065,0,0.64126,0.0011556,0,1.9996e-09,0,0.72475,0,0.11145,0,1.621
0.20797,0,0,0.19154,0,0.67995,0.0012338,0,1.9996e-09,0,0.76848,0,0.11817,0,1.6209
0.22876,0,0,0.20149,0,0.71528,0.0013017,0,1.9996e-09,0,0.8084,0,0.12431,0,1.6209
0.25164,0,0,0.21149,0,0.75076,0.0013708,0,1.9996e-09,0,0.8485,0,0.13048,0,1.6209
0.2768,0,0,0.22121,0,0.78571,0.0016581,0,1.9996e-09,0,0.888,0,0.13655,0,1.62
0.30448,0,0,0.23054,0,0.81883,0.0017255,0,1.9996e-09,0,0.92544,0,0.14231,0,1.62
0.33493,0,0,0.2398,0,0.85173,0.0017957,0,1.9996e-09,0,0.96261,0,0.14803,0,1.62
0.36842,0,0,0.24905,0,0.88479,0.001972,0,1.9996e-09,0,0.99999,0,0.15378,0,1.6196
0.40526,0,0,0.25868,0,0.919,0.0020499,0,1.9996e-09,0,1.0387,0,0.15972,0,1.6196
0.44579,0,0,0.2682,0,0.95283,0.0021286,0,1.9996e-09,0,1.0769,0,0.1656,0,1.6196
0.49037,0,0,0.2776,0,0.98622,0.0022078,0,1.9996e-09,0,1.1146,0,0.17141,0,1.6195
0.53941,0,0,0.28687,0,1.0192,0.0022871,0,1.9996e-09,0,1.1519,0,0.17714,0,1.6195
0.59335,0,0,0.29602,0,1.0517,0.0023666,0,1.9996e-09,0,1.1886,0,0.18278,0,1.6195
0.65268,0,0,0.30502,0,1.0837,0.0024462,0,1.9996e-09,0,1.2248,0,0.18834,0,1.6195
0.71795,0,0,0.3137,0,1.1146,0.0025428,0,1.9996e-09,0,1.2597,0,0.19371,0,1.6194
